refID1,compared_tokens1,refID2,compared_tokens2,similarity,mu,truth
A904735,"JOHN, ANDERSON, BRIDALVEIL, STOCKTON",A923657,"ELIZABETH, ANDERSON, BRIDALVEIL, STOCKTON",0.6,0.73,0
A904735,"JOHN, ANDERSON, BRIDALVEIL, STOCKTON",A931268,"JOHN, ANDERSON, MARIE, PERRIS",0.74,0.73,1
A904735,"JOHN, ANDERSON, BRIDALVEIL, STOCKTON",A958216,"OJHN, ANDERSON, BRIDALVEIL, STOCKTON, 95Y212",0.9,0.73,1
A904735,"JOHN, ANDERSON, BRIDALVEIL, STOCKTON",A966439,"JONATHAN, ANDERSON, BRIDALVEIL, CRCL, STOCKTON",0.8,0.73,1
A904735,"JOHN, ANDERSON, BRIDALVEIL, STOCKTON",B916189,"OJHN, ANDERSON, BRIDALVEIL, STOCKTON",0.9,0.73,1
A904735,"JOHN, ANDERSON, BRIDALVEIL, STOCKTON",B930244,"JOHN, ANDERSON, BRIDALVEIL, CIRC, STOCKTON",0.9999999999999999,0.73,1
A904735,"JOHN, ANDERSON, BRIDALVEIL, STOCKTON",B998807,"JONATHAN, ANDERSON, BRIDALVEIL, STOCKTON",0.8,0.73,1
A904739,"LANTRIP, KENNEDY, WATAUGA, 76148O",A959904,"BARBARA, LANTRIP, KENNEDY, WATAUGA",0.8999999999999999,0.73,1
A904739,"LANTRIP, KENNEDY, WATAUGA, 76148O",A982647,"BARBARA, TOMPKINS, 641X7, KENNEDY, WATAUGA",0.5904761904761905,0.73,1
A904739,"LANTRIP, KENNEDY, WATAUGA, 76148O",A992798,"NATHANIEL, TOMPKINS, KENNEDY, WATAUGA",0.5888888888888889,0.73,0
A904739,"LANTRIP, KENNEDY, WATAUGA, 76148O",B940190,"BARBARA, LANTRIP, KENNEDY, CTB, WATAUGA",0.8999999999999999,0.73,1
A904739,"LANTRIP, KENNEDY, WATAUGA, 76148O",B945299,"LANTRIP, KENNEDY, CORT, WATAUGA",0.8999999999999999,0.73,1
A904739,"LANTRIP, KENNEDY, WATAUGA, 76148O",B953141,"BARBARA, TOMPKINS, KENNEDY, WATAUGA",0.5571428571428572,0.73,1
A904758,"JOYCE, PALLETT, 24TH",A930348,"JOYCE, PALLETT, BRIGHTEN",0.8541666666666666,0.73,1
A904758,"JOYCE, PALLETT, 24TH",A986921,"JOYCE, PALLETT, ORLANDA, BONITA",0.861111111111111,0.73,1
A904758,"JOYCE, PALLETT, 24TH",B901147,"JOYCE, PALLETT, BRIGHTEN",0.8541666666666666,0.73,1
A904811,"MARAI, LOPEZ, CORTE, REYES, INDIO",A964831,"LOPEZ, CORTE, REYES, INDIO",0.9999999999999999,0.73,1
A904811,"MARAI, LOPEZ, CORTE, REYES, INDIO",A971061,"LOPE, CORTE, REYES, INDIO",0.92,0.73,1
A904811,"MARAI, LOPEZ, CORTE, REYES, INDIO",B928145,"LOPEZ, CORTE, LOSO, REYES, INDIO",0.6666666666666666,0.73,1
A904811,"MARAI, LOPEZ, CORTE, REYES, INDIO",B984742,"LOPE, CORTE, REYES, INDIO, 922Q03",0.6133333333333334,0.73,1
A904811,"MARAI, LOPEZ, CORTE, REYES, INDIO",B991109,"MARAI, LOPEZ, CORTE, REYES, INDIO",1.0,0.73,1
A904838,"ALBERTO, MALKIEWICZ, SOUTHWEST, 2ND, POMPANO, 3306E0",A908374,"ALBERTO, MALKIEWICZ, GRANT, CHINO",0.7771428571428571,0.73,1
A904838,"ALBERTO, MALKIEWICZ, SOUTHWEST, 2ND, POMPANO, 3306E0",A915475,"ALBERTO, MALKIEWICZ, BENNETTST, NIPOMO",0.7730158730158729,0.73,1
A904838,"ALBERTO, MALKIEWICZ, SOUTHWEST, 2ND, POMPANO, 3306E0",A919995,"ROBERT, KING, SOUTHWEST, 2ND, AVNUE, DANIA",0.5657596371882085,0.73,0
A904838,"ALBERTO, MALKIEWICZ, SOUTHWEST, 2ND, POMPANO, 3306E0",A952226,"ALBERTO, MALKIEWICZ, MCINTOSH",0.8541666666666666,0.73,1
A904838,"ALBERTO, MALKIEWICZ, SOUTHWEST, 2ND, POMPANO, 3306E0",A962808,"ALBERTO, MALKIEWICZ, BENNETT, NIPOMO",0.7730158730158729,0.73,1
A904838,"ALBERTO, MALKIEWICZ, SOUTHWEST, 2ND, POMPANO, 3306E0",A974873,"PATSY, JARAMILLO, 2ND, POMPANO",0.4555555555555556,0.73,0
A904838,"ALBERTO, MALKIEWICZ, SOUTHWEST, 2ND, POMPANO, 3306E0",A977425,"MARIAH, KRAUS, SOUTHWEST, 7TH, POMPANO, POMPANO",0.41836734693877553,0.73,0
A904838,"ALBERTO, MALKIEWICZ, SOUTHWEST, 2ND, POMPANO, 3306E0",A981320,"ALBERTO, MALKIEWICZ, GRANT, CHINO",0.7771428571428571,0.73,1
A904838,"ALBERTO, MALKIEWICZ, SOUTHWEST, 2ND, POMPANO, 3306E0",A994299,"ALBERTO, MALKIEWICZ, 251E, BENNETT, NIPOMO",0.6986772486772488,0.73,1
A904861,"ANTHONY, JARDIN, OXNARD",A982285,"JULIO, ANTHONY, JARDIN, OXNARD",0.9999999999999999,0.73,1
A904861,"ANTHONY, JARDIN, OXNARD",B919847,"JULIO, ANTHONY, JARIN, OXNARD",0.9444444444444444,0.73,1
A904861,"ANTHONY, JARDIN, OXNARD",B928487,"ANTHONY, JARDIN, OXNARD",0.9999999999999999,0.73,1
A904861,"ANTHONY, JARDIN, OXNARD",B998538,"ANDREA, ANTHONY, JARDINP, OXNARD",0.9523809523809523,0.73,0
A904877,"RODNEY, BRACKLE, ROCDKWOOD",A922045,"RODNEY, BRACKLE, WRIGHT, BLOSSOM",0.8518518518518517,0.73,1
A904877,"RODNEY, BRACKLE, ROCDKWOOD",A941210,"RODNEY, BRACKLE, HEALDSBURG, HEALDSBURG",0.8499999999999999,0.73,1
A904877,"RODNEY, BRACKLE, ROCDKWOOD",A962473,"RODNEY, BRACKLE, DESERT, SUN",0.8518518518518517,0.73,1
A904877,"RODNEY, BRACKLE, ROCDKWOOD",B924608,"RODNEY, BRACKLE, APARTADO, HEALDSBURG",0.8518518518518517,0.73,1
A904877,"RODNEY, BRACKLE, ROCDKWOOD",B976300,"RODNEY, BRACKLE, DESERT, SUN",0.8518518518518517,0.73,1
