refID1,tokens1,refID2,tokens2,truth
A904697,"A, GARFIO, 1305, NORTH, FORD, STR, LOT, 10, JONESBORO, Y, AR, 72401, 22542011",B972333,"GLEN, G, PAOLINI, 2103, CLARK, ST, JONESBORO, AR, 72401, 8701206364",0
A904758,"JOYCE, M, PALLETT, 1857, W, 24TH, ST, APT, 1, LOS, ANGELES, CALIFORNIA, 90018, 012687271, 1961",A986921,"JOYCE, M, PALLETT, 15464, ORLANDA, DR, BONITA, SPRINGS, FLORIDA, 34135",1
A904838,"ALBERTO, MALKIEWICZ, 1124, SOUTHWEST, 2ND, AV, POMPANO, BEACH, FLORIDA, 3306E0, 27111743, 20999",A952226,"ALBERTO, MALKIEWICZ, 936, MCINTOSH, ST, WEST, PALM, BEACH, FL, 33405, PO, BOX, 19053, APARTADO, WEST, PALM, BEACH, FL, 33416, 27111743",1
A904838,"ALBERTO, MALKIEWICZ, 1124, SOUTHWEST, 2ND, AV, POMPANO, BEACH, FLORIDA, 3306E0, 27111743, 20999",A974873,"PATSY, R, JARAMILLO, 1124, SW, 2ND, AVE, POMPANO, BEACH, FLORIDA, 33060, 27049855, 20420",0
A905307,"ANASTACIO, J, WALSH, 1050, ILSHIRE, BOULV, APT, 212, LOS, ANGELES, CA, 90017, BUZON, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 27047559",A907424,"ELLEN, C, ROBERTS, 1917, RODNEY, DR, APT, 212, LOS, ANGELES, CA, 90027, POST, OFFICE, BOX, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 022076398",0
A905307,"ANASTACIO, J, WALSH, 1050, ILSHIRE, BOULV, APT, 212, LOS, ANGELES, CA, 90017, BUZON, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 27047559",A915456,"JUAN, PALACIOS, 1535, N, SERRANO, AVE, APT, 12, LOS, ANGELES, CA90027, CALL, BOX, 881605, POST, OFFICE, BOX, LOS, ANGELES, CALIF, 90009, 22929301",0
A905307,"ANASTACIO, J, WALSH, 1050, ILSHIRE, BOULV, APT, 212, LOS, ANGELES, CA, 90017, BUZON, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 27047559",A927926,"MARIA, BRADLEY, 810, 12, MICHELTORENA, ST, LOS, ANGELES, CALIFORNIA, 9E0026, OFFICE, BOX, 881605, POST, OFFICE, BOX, LOS, ANGELES, CALIFORNIA, 90009, 22480634",0
A905307,"ANASTACIO, J, WALSH, 1050, ILSHIRE, BOULV, APT, 212, LOS, ANGELES, CA, 90017, BUZON, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 27047559",A936782,"ANASTACIO, J, WALSH, 12208, WINDCHIME, PL, APT, A, MIRA, LOMA, CA, 9752",1
A905307,"ANASTACIO, J, WALSH, 1050, ILSHIRE, BOULV, APT, 212, LOS, ANGELES, CA, 90017, BUZON, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 27047559",A937401,"HECTOR, J, MZIGHELL, 4727, 3RD, AVE, LOS, ANGELES, A, 90043, O, BOX, 881605, POST, OFFICE, BOX, LOS, ANGELES, CALIFORNIA, 90009, 23755056, 19531118",0
A905307,"ANASTACIO, J, WALSH, 1050, ILSHIRE, BOULV, APT, 212, LOS, ANGELES, CA, 90017, BUZON, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 27047559",A965888,"ANASTACIO, J, WALSH, 5301, E, WVERLY, DRIVE, UNIT, 173, PALM, SPRINGS, CA, 92264, PO, BOX, 2Z012, PALM, SPRINGS, CA, 92263, 29625",1
A905307,"ANASTACIO, J, WALSH, 1050, ILSHIRE, BOULV, APT, 212, LOS, ANGELES, CA, 90017, BUZON, 881605, APARTADO, LOS, ANGELES, CALIFORNIA, 90009, 27047559",B951712,"JENNIFER, D, MIDDLETON, 881605, POST, OFFICE, BOX, LOS, ANGELES, CALIFORNIA, 90009, 8184213781",0
